Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
20000,20000.0,0.089,36,debt_consolidation,0.149,SC,MORTGAGE,6541.67,"[735, 739]",14.0,14272.0,2.0,< 1 year,737
19200,19200.0,0.1212,36,debt_consolidation,0.2836,TX,MORTGAGE,4583.33,"[715, 719]",12.0,11140.0,1.0,2 years,717
35000,35000.0,0.2198,60,debt_consolidation,0.2381,CA,MORTGAGE,11500.0,"[690, 694]",14.0,21977.0,1.0,2 years,692
10000,9975.0,0.0999,36,debt_consolidation,0.143,KS,MORTGAGE,3833.33,"[695, 699]",10.0,9346.0,0.0,5 years,697
12000,12000.0,0.1171,36,credit_card,0.1878,NJ,RENT,3195.0,"[695, 699]",11.0,14469.0,0.0,9 years,697
6000,6000.0,0.1531,36,other,0.2005,CT,OWN,4891.67,"[670, 674]",17.0,10391.0,2.0,3 years,672
10000,10000.0,0.079,36,debt_consolidation,0.2609,MA,RENT,2916.67,"[720, 724]",10.0,15957.0,0.0,10+ years,722
33500,33450.0,0.1714,60,credit_card,0.147,LA,MORTGAGE,13863.42,"[705, 709]",12.0,27874.0,0.0,10+ years,707
14675,14675.0,0.1433,36,credit_card,0.2692,CA,RENT,3150.0,"[685, 689]",9.0,7246.0,1.0,8 years,687
7000,7000.0,0.0691,36,credit_card,0.071,CA,RENT,5000.0,"[715, 719]",8.0,7612.0,0.0,3 years,717
2000,2000.0,0.1972,36,moving,0.1029,FL,RENT,3575.0,"[670, 674]",10.0,12036.0,0.0,6 years,672
10625,10625.0,0.1427,36,debt_consolidation,0.1254,CA,MORTGAGE,4250.0,"[665, 669]",14.0,10767.0,0.0,< 1 year,667
28000,27975.0,0.2167,60,debt_consolidation,0.1307,CT,MORTGAGE,14166.67,"[670, 674]",12.0,10311.0,0.0,1 year,672
35000,34950.0,0.089,36,debt_consolidation,0.2046,CT,RENT,9166.67,"[735, 739]",19.0,21536.0,0.0,1 year,737
9600,9600.0,0.0762,36,debt_consolidation,0.0345,DC,RENT,11250.0,"[725, 729]",13.0,4606.0,0.0,< 1 year,727
25000,24975.0,0.1565,60,debt_consolidation,0.2199,CA,RENT,5416.67,"[730, 734]",6.0,13929.0,0.0,9 years,732
10000,10000.0,0.1212,36,debt_consolidation,0.1772,CA,RENT,9000.0,"[695, 699]",18.0,20317.0,0.0,7 years,697
14000,13900.25,0.1037,60,debt_consolidation,0.1195,OH,RENT,4333.33,"[740, 744]",6.0,7419.0,0.0,9 years,742
